No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
82	SFC-C-01492	#N/A	Beneficio Tres Rios	"Exportadora El Volcán, S.A. de C.V."	0	1	Sonsonate	Nahuizalco 	Sisimitepet	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	01/31/13			
83	SFC-C-01490	#N/A	Beneficio San Andres	"Exportadora El Volcán, S.A. de C.V. "	0	1	La Libertad	Ciudad Arce	San Andres	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2009	03/24/13			
84	SFC-C-04250	#N/A	Beneficio Vivagua	"Exportadora Pacas Martinez, S.A. de C.V."	0	1	La Libertad	San Juan Opico	San Juan Opico	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2012	03/13/13			
85	SFC-F-04152	SFC-F-04152	El Retiro	FA Pacas y Cia	1	0	Santa Ana	Chalchuapa	Buenos Aires	1	19	19	38636	34334	0	0	13.89947	-89.64695	"Feb 27,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/28/13			
86	SFC-F-04153	SFC-F-04152	San Joaquin	FA Pacas y Cia	1	0	Santa Ana	Chalchuapa	Buenos Aires	1	41	31	38636	34334	0	0	13.88989	-89.6472	"Feb 27,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/28/13			
87	SFC-F-00790	SFC-F-00790	Claro de Luna	"FDC Inversiones, S.A. de C.V "	1	0	San Salvador	San Martin	Balle de las Delicias	1	39.9	31.2	40909	40909	0.5	0.42	13.74132	-89.0748	"Dec 31,10"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
88	SFC-G-05205	#N/A	Grupo Café Tuxpal	Federico Pacas 	1	0	La Libertad	San Juan Opico	Las Delicias	8	252	225	250000	#N/A	#N/A	#N/A	13.76195	-89.38559	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	07/12/13			
89	SFC-G-04155	#N/A	Wild Forest Coffee	"Francisco, S.A. de C.V. "	1	0	La Libertad	El Matazano	Las Granadillas	8	699.1	595.57	611400	#N/A	#N/A	#N/A	13.710486º	-89.247275	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	02/27/13			
90	SFC-F-07252	#N/A	El Carmen 	"GANEMA, S.A. de C.V."	1	0	Ahuachapan	Concepcion de Ataco	Concepcion de Ataco	1	78	76	23000	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2013	06/20/16			
91	SFC-F-07255	#N/A	San José Miramar	"GANEMA, S.A. de C.V."	1	0	Sonsonate	Santa Catarina Masahuat	Las Peñas	1	57.7	56	28090	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2013	06/20/16			
92	SFC-F-2652	SFC-F-02652	San Francisco	"Geronimo, S.A. de C.V."	1	0	San Salvador	Nejapa	San Geronimo	1	64.74	64.74	50090	50090	1.14	1.14	13.75711	-89.25526	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	12/09/12			
93		SFC-G-04460	Grupo Buena Vista S. A. de C. V.	Grupo Buena Vista S. A. de C. V.	1	0								420964	0	0	13.90484	-89.6506	"Apr 24,13"							
94	SFC-F-01294	SFC-F-01294	Santa Emilia y Montebello	"HERSA, S.A de C.V."	1	0	Usulutan 	Santiago de Maria	Loma de Los Gonzalez 	1	36.11	34.3	54545	54545	0.25	0.25	13.48521	-88.43514	"Oct 13,12"	Rainforest Alliance CertifiedTM	Certificada	2006	10/13/13			
95	SFC-F-01283	SFC-F-01283	San Luis	Inversiones Cafeteras S.A. de C.V.	1	0	La Libertad	Jayaque	Juan Higinio/La Cumbre	1	65.1	56	68200	77272	0.27	0.27	13.90577	-89.62077	"Oct 14,12"	Rainforest Alliance CertifiedTM	Certificada	2007	10/14/13			
